u,i,t
359,4160,1690372152.0
6867,9294,1713175764.0
872,806,1711190555.0
2804,4652,1698679161.0
4677,1907,1677578031.0
890,6813,1686307159.0
1133,3662,1705067681.0
2637,12801,1678972060.0
6838,15203,1713439708.0
1992,464,1713191681.0
6141,4426,1708681817.0
3018,11474,1706894982.0
7462,13587,1705312443.0
2528,2858,1682954211.0
2100,8857,1696256187.0
7507,740,1708431563.0
1937,6685,1695634794.0
2825,7019,1686064226.0
2437,12484,1708625858.0
1664,5845,1681492616.0
6541,3473,1710253704.0
6551,7687,1686242520.0
7092,3348,1687529537.0
6885,15170,1703187849.0
4734,2156,1689350078.0
1431,10360,1713466751.0
4858,8893,1705498456.0
3963,9584,1673963002.0
2952,6206,1701278528.0
2264,6831,1701354547.0
3569,1070,1698086308.0
3967,5014,1690300972.0
65,1081,1724775620.0
2271,6847,1676967105.0
1164,9381,1686328089.0
1669,2715,1712596746.0
4067,12868,1685617207.0
929,1270,1685719320.0
3081,12380,1713442774.0
1280,7279,1714825027.0
2101,7798,1714067814.0
6715,14555,1686148038.0
5923,611,1676041485.0
5257,8545,1696258614.0
2505,11796,1688988512.0
176,2382,1707726682.0
3126,2117,1714143971.0
2445,8559,1697194154.0
3295,12429,1700135598.0
1475,8502,1712670978.0
7143,10429,1697630486.0
311,3757,1683228994.0
7215,91,1695397230.0
1046,775,1693236605.0
3643,28,1704550998.0
634,6424,1681396379.0
3115,2208,1693823784.0
3756,2999,1710523203.0
125,1842,1695398153.0
24,527,1695925491.0
1435,10371,1686844715.0
7792,15284,1724665622.0
2056,9808,1719511285.0
4068,2807,1683041183.0
7498,14578,1703083227.0
4927,4726,1717747746.0
7460,13414,1700041970.0
4216,6148,1683551777.0
5003,12913,1706893150.0
4849,6572,1705488469.0
362,4190,1676979573.0
3358,1795,1694776212.0
7498,14578,1707310545.0
1172,9414,1697545253.0
916,8094,1707137906.0
5562,11366,1683118338.0
5784,1287,1694006233.0
7423,15204,1701770729.0
878,7882,1706020581.0
949,3721,1706871093.0
1855,11435,1698321729.0
4160,6703,1691666932.0
2002,294,1693834265.0
3377,1001,1673368952.0
493,5399,1687861090.0
356,4125,1713786534.0
30,613,1679395093.0
900,7992,1683654332.0
435,3100,1698765419.0
6015,15041,1695117859.0
1106,9012,1704727142.0
4927,4726,1717747755.0
6015,1724,1704386501.0
1771,3316,1681218503.0
3020,1354,1683886313.0
7116,14789,1688560470.0
2191,3010,1688661226.0
2059,11807,1710318681.0
660,6627,1708006970.0
5403,11303,1684167356.0
710,6971,1676713416.0
2950,529,1683295355.0
1752,11185,1715883118.0
1022,8626,1704886351.0
160,2171,1703697644.0
5981,1001,1694621861.0
5659,11084,1683118739.0
1602,10820,1695405542.0
43,898,1707816411.0
949,4875,1693392770.0
1037,8683,1703002139.0
1094,4927,1686845062.0
2491,184,1683390053.0
5482,13388,1702658990.0
6996,12543,1683553967.0
391,788,1697035177.0
4347,5738,1709723097.0
5436,14875,1713975089.0
6613,12909,1714047135.0
537,5685,1689854894.0
1992,611,1686583206.0
6018,771,1714738073.0
5321,3403,1686657533.0
94,1552,1687442390.0
2453,9337,1706612705.0
7058,3464,1699526946.0
5111,6800,1674916724.0
382,4390,1687871331.0
5015,1811,1713961169.0
2421,1855,1677924869.0
2112,3681,1704737316.0
2118,4227,1715338943.0
4178,5563,1724845758.0
7664,1213,1709288957.0
1877,11475,1676466002.0
3670,4605,1706097932.0
3507,3333,1709116337.0
5304,13333,1680697981.0
1106,5329,1711537049.0
1381,6563,1696341196.0
3122,4402,1691407575.0
3274,9922,1691051306.0
2957,1347,1692029181.0
3258,5191,1676654948.0
6236,1535,1702548922.0
447,144,1685537647.0
1815,5937,1695973343.0
4508,8215,1679487918.0
1121,462,1706118086.0
3839,6329,1678808915.0
770,7313,1685979584.0
6013,10891,1680185814.0
5528,14912,1697198422.0
6125,276,1710266210.0
2338,8185,1680971416.0
2481,3529,1711038653.0
1514,10578,1707754060.0
5270,2743,1697530834.0
1220,206,1711119562.0
2788,2440,1716917593.0
5466,6572,1695916213.0
3464,8917,1697042146.0
45,916,1709302899.0
2462,2556,1678900825.0
327,3907,1709380224.0
5009,11188,1676291088.0
4438,1028,1705667005.0
3603,13890,1702455053.0
30,625,1693916507.0
6988,4655,1704735965.0
1930,11612,1694108932.0
1212,9575,1715592511.0
436,4879,1716809106.0
3941,10714,1701698204.0
3564,13844,1702380373.0
6037,2741,1709225830.0
1159,9350,1686750872.0
7694,10651,1713376532.0
2568,11867,1675242330.0
5885,53,1704964233.0
6335,102,1673704725.0
6573,4671,1678277210.0
3162,5175,1714559063.0
2850,12509,1697233083.0
253,3191,1685984986.0
2786,7168,1697630482.0
3392,9125,1678287384.0
703,6903,1701101759.0
2323,3319,1683034879.0
7633,1999,1725956601.0
1133,2210,1710514721.0
661,2936,1683365032.0
5387,11760,1681398914.0
7056,4687,1699984949.0
434,4835,1677228549.0
3014,10594,1712940411.0
6566,13818,1679585761.0
6508,6636,1687259861.0
5294,2742,1678872358.0
532,5654,1689867117.0
1218,2963,1684843727.0
4654,13408,1711126090.0
1597,10803,1705330934.0
2,53,1691072667.0
1286,3943,1675091709.0
1223,9610,1686156506.0
82,1424,1695810109.0
2285,12230,1707918632.0
607,1302,1707568986.0
4711,14542,1675098637.0
1047,7926,1689417341.0
1437,2214,1698171960.0
4955,5573,1701707678.0
3307,807,1698665744.0
4980,3955,1699351675.0
5637,709,1694629070.0
1028,4002,1687170719.0
1563,7760,1713442147.0
2163,3704,1700586023.0
1022,8625,1692699640.0
2160,5508,1692692491.0
1686,978,1706615227.0
6143,4641,1698841296.0
4149,3055,1686243619.0
2963,2914,1680268373.0
6528,12875,1721302705.0
7102,3702,1720097564.0
2694,12867,1684236184.0
2920,3022,1688983758.0
2031,9748,1695727508.0
1808,11306,1677507268.0
5440,14188,1683719919.0
1497,7431,1697019049.0
3283,4026,1686134476.0
3175,13446,1707398256.0
6875,7965,1717437127.0
5910,527,1694173720.0
4008,12957,1682329680.0
5520,14163,1675095484.0
40,732,1695987029.0
43,899,1688482244.0
3990,1172,1724149085.0
1291,9917,1698941254.0
925,8179,1701690342.0
231,2997,1709541380.0
6915,13952,1674671695.0
2385,2309,1674836225.0
7593,14578,1707318355.0
4311,12725,1675257723.0
7232,12301,1710929622.0
81,1373,1685707940.0
7001,8164,1706893170.0
3677,1557,1705078053.0
5451,10532,1704369535.0
467,1740,1675783964.0
2825,6763,1711547935.0
6229,5998,1699893672.0
405,4647,1693328388.0
1013,3498,1695656664.0
6869,13891,1677928282.0
2512,1684,1704808746.0
7166,3785,1704365205.0
4485,8001,1673995485.0
2031,2876,1697022783.0
240,3055,1728557148.0
1514,10576,1675430253.0
427,1513,1705423291.0
2611,1829,1702572906.0
5441,14437,1683122720.0
1903,6623,1708106559.0
1019,8596,1679997571.0
5336,7231,1706692029.0
544,5499,1706546755.0
2501,11228,1678199382.0
701,5540,1680194567.0
1815,548,1683377115.0
1934,2580,1678470360.0
2460,375,1674149748.0
6811,6622,1705487135.0
3853,4235,1698751760.0
2128,7958,1690456792.0
1239,9671,1715769860.0
182,2448,1698244899.0
1223,9610,1685033898.0
1759,2356,1673017775.0
458,5144,1693327470.0
3505,13803,1682682378.0
1408,2105,1679320751.0
6399,7796,1716900039.0
6391,12748,1728037497.0
6763,8999,1702547685.0
1359,6177,1686070776.0
661,734,1695815796.0
6374,9781,1706204671.0
989,7016,1678120365.0
1067,81,1683389778.0
1498,3237,1725037593.0
1784,7824,1679330444.0
3287,7334,1683882678.0
1141,9203,1694191298.0
2153,10614,1673879947.0
6737,5895,1719396612.0
2663,3472,1695388928.0
3558,774,1702579232.0
5855,6484,1673454275.0
4921,5570,1686241834.0
804,1854,1690289746.0
1153,4836,1687951613.0
4307,13519,1726591345.0
1423,2170,1695832397.0
6612,12164,1706861110.0
3944,7530,1709635382.0
1318,9525,1695208806.0
2044,1963,1693493684.0
14,344,1680976728.0
1554,7733,1712248664.0
3095,13372,1680789159.0
45,969,1702913926.0
7140,3055,1707413809.0
6384,4180,1685014026.0
4476,7527,1683723483.0
4347,14318,1677053360.0
1278,3024,1712854928.0
6135,7730,1701785736.0
3253,4673,1680782496.0
2465,1791,1688049767.0
1068,2816,1706360696.0
6224,11955,1709916838.0
1557,7527,1673372638.0
6378,1396,1705420274.0
322,3852,1711631669.0
148,101,1725038975.0
615,5825,1694712773.0
2331,2802,1710778255.0
723,7066,1682684054.0
3630,12821,1685106461.0
3880,14049,1678812970.0
1268,6304,1700924055.0
5472,1648,1696351596.0
6894,9265,1680024894.0
3749,10199,1706887640.0
5003,13236,1687441459.0
1582,8967,1684837610.0
6323,344,1687435161.0
3311,1355,1676277739.0
4181,2347,1718556030.0
2218,10551,1713186905.0
1526,9622,1681913856.0
6584,14635,1680106847.0
6052,5117,1692624501.0
3546,11951,1674232480.0
385,4424,1683805312.0
2119,11637,1690459018.0
2462,181,1680199157.0
4047,8033,1676394917.0
2906,8058,1717693959.0
3330,6636,1678455311.0
767,1569,1697113362.0
187,2029,1718041313.0
4026,5415,1678270598.0
919,8127,1691494445.0
3547,10988,1709116349.0
2694,252,1709287462.0
951,8307,1709565383.0
1012,8547,1679760324.0
2788,1593,1707735166.0
2061,8856,1719310816.0
3274,207,1681308965.0
5667,13286,1685467111.0
1398,10271,1708011225.0
1620,10877,1675676727.0
1742,3202,1715872586.0
1954,7884,1682429800.0
1252,9723,1693414696.0
1583,10739,1695823812.0
6936,4889,1700659182.0
1008,3642,1707749870.0
2191,3010,1678365514.0
2805,12597,1713120937.0
3095,13373,1685021236.0
7761,8999,1724345064.0
2096,10709,1704279939.0
5039,14220,1682947485.0
1614,10850,1717091073.0
262,3360,1714989323.0
2501,2060,1692197995.0
2254,1586,1689090803.0
1371,10201,1677769091.0
3621,1862,1710864928.0
4696,12567,1715702310.0
1401,715,1695209460.0
2031,1158,1703088792.0
4641,1298,1712584163.0
1838,2397,1709036052.0
6099,15066,1680594480.0
4049,6869,1714484946.0
4253,8523,1706875617.0
2254,10296,1677319468.0
4117,14238,1714388624.0
6256,14890,1719914532.0
4843,329,1711039617.0
7044,8999,1684772460.0
6026,11574,1694010975.0
4688,1846,1711470591.0
742,3997,1699959641.0
3693,4924,1702736657.0
770,7311,1702641956.0
2773,11038,1700069668.0
265,618,1706780331.0
6912,3055,1679483008.0
7763,15110,1721470845.0
1094,1218,1699015785.0
4484,14119,1708532335.0
7567,6705,1701095763.0
2163,10298,1707403646.0
3472,13746,1677336987.0
252,3146,1678717696.0
3046,13311,1708515929.0
2453,7239,1683026682.0
99,1598,1693313519.0
5131,1777,1677614670.0
4473,6557,1674560372.0
4231,740,1674724354.0
1663,8152,1695377924.0
2294,3916,1689250008.0
760,7243,1701971128.0
6945,13670,1701261023.0
6401,3936,1715361142.0
236,3032,1700733958.0
5640,7229,1675158709.0
5378,13123,1673537702.0
5341,830,1697121895.0
2648,10549,1687191474.0
5039,10715,1712407165.0
2253,8274,1699458891.0
5967,1135,1686492544.0
2471,1869,1695465926.0
7798,10715,1724669256.0
1615,5531,1711455863.0
3660,13913,1684937366.0
510,5502,1682441888.0
2512,10966,1674572807.0
5003,1511,1675246401.0
4955,1202,1680538775.0
138,1932,1705058603.0
175,2375,1715008268.0
995,7760,1710254262.0
120,1787,1682001937.0
3201,13506,1706544756.0
1067,8793,1680027666.0
5909,14719,1674661689.0
670,6716,1688630298.0
7644,12977,1708088738.0
1067,8797,1693246612.0
62,1249,1688122967.0
2136,1568,1703174575.0
490,5375,1713460830.0
7684,10742,1715868122.0
1291,7758,1711390603.0
2919,3676,1689161786.0
2082,11874,1683716994.0
3593,13200,1713870960.0
600,6167,1722258105.0
1137,3860,1697886629.0
2957,1672,1685612491.0
24,526,1695924024.0
7381,3865,1724413125.0
4175,8474,1708772383.0
1962,6538,1681910566.0
2422,12455,1712862124.0
2206,1996,1693395723.0
3266,1535,1684834137.0
2160,12014,1694603981.0
4408,10673,1674905250.0
6058,2109,1709288911.0
710,6978,1698492572.0
1669,2752,1703172207.0
2674,1993,1704308359.0
6145,14866,1706883232.0
5026,14688,1683634257.0
2750,3796,1678875456.0
1247,6691,1704902553.0
7481,2067,1702381562.0
1603,1071,1701784568.0
380,4371,1693409571.0
6869,3055,1675964736.0
5111,9104,1680616456.0
362,4193,1677766180.0
4145,14257,1694434289.0
156,2099,1680807695.0
7078,2480,1684771827.0
1191,9489,1676717250.0
833,7662,1674834752.0
554,3359,1715788400.0
1930,11614,1679507476.0
1615,8477,1709647677.0
1106,5329,1711537014.0
4713,14498,1673258001.0
5868,5329,1711537692.0
5181,5975,1708358912.0
7557,11126,1710414064.0
7557,13388,1713433901.0
4387,11414,1707495354.0
2180,2221,1693488340.0
1106,14,1693905411.0
3508,13815,1693498524.0
4993,14142,1675341469.0
7058,11122,1696005161.0
1342,6280,1719586979.0
259,3259,1677255240.0
1960,1060,1693236031.0
1620,10877,1699869093.0
2244,8949,1702292635.0
2737,12919,1672939688.0
4179,3834,1682426581.0
4036,1324,1680022598.0
2318,12284,1698759617.0
2308,2357,1685628381.0
1047,392,1679133007.0
3868,5651,1700471654.0
3139,10654,1689855539.0
2626,3355,1684329611.0
1393,4094,1694078094.0
670,6724,1706537220.0
6756,14528,1706888146.0
2500,11561,1686914863.0
7686,5305,1714498771.0
3209,5770,1679074693.0
6194,14764,1695381431.0
4907,11720,1693236227.0
5180,8526,1693391176.0
6145,14612,1726753225.0
5148,14745,1676909595.0
3538,13116,1680187036.0
1321,6838,1690299944.0
4734,323,1682354464.0
1620,4602,1708098434.0
4152,14238,1705913409.0
1892,2869,1688557195.0
7529,5267,1728634212.0
360,2108,1675329548.0
4525,9812,1698660144.0
3643,7124,1724258471.0
2433,3633,1697443143.0
558,5882,1705938258.0
5039,14307,1677254811.0
4696,6524,1709914154.0
662,6655,1706785460.0
7592,7324,1709828295.0
2268,5020,1694429391.0
2823,1388,1691231208.0
2248,4031,1690806185.0
4210,6661,1679481979.0
7018,9420,1680614995.0
6485,11210,1696341177.0
5205,6672,1709889717.0
4440,404,1695298387.0
4942,1529,1695732746.0
1875,1266,1692725044.0
6520,12655,1708971079.0
7634,2520,1718039978.0
1563,7991,1683546146.0
1154,3269,1703325840.0
665,6686,1695382134.0
1159,9345,1678883756.0
4736,12850,1682586279.0
7394,10178,1717418697.0
2712,12900,1699898113.0
3710,9790,1683564629.0
5748,14538,1698659868.0
3841,3852,1701280306.0
2568,3382,1700664766.0
241,3067,1677099242.0
1199,9521,1688554250.0
4458,445,1683024985.0
1315,6200,1698413837.0
4078,4137,1681395023.0
2682,11426,1724241346.0
1309,2056,1702468481.0
7584,3160,1711385633.0
1067,2142,1696690943.0
4936,13187,1708343782.0
2333,1213,1711117021.0
6823,12547,1704813029.0
2187,5719,1707239162.0
458,788,1705599367.0
2489,4406,1687779933.0
2578,12700,1707748903.0
658,6599,1705313529.0
5758,1697,1696347286.0
1090,8889,1695128468.0
4115,13616,1681994462.0
7643,3100,1712080590.0
6082,13647,1711554200.0
2458,11267,1712766930.0
833,7665,1695227244.0
5180,1323,1681213068.0
6767,1694,1711638963.0
469,5239,1706018105.0
6452,14555,1680618089.0
3643,714,1683911933.0
4413,2855,1681399690.0
2803,4352,1716901247.0
2140,6226,1697198120.0
1566,10718,1709809579.0
5316,6789,1709737536.0
2808,5846,1676627922.0
1255,9774,1709806461.0
364,4292,1707925396.0
613,6293,1673966317.0
3880,14049,1678813023.0
5477,1592,1702316433.0
7107,3019,1687861708.0
7761,8999,1724345053.0
4019,14160,1675436805.0
1208,9547,1684947069.0
2121,3278,1677510036.0
612,6287,1706282742.0
7581,163,1704388080.0
6613,9507,1672743665.0
7071,2802,1725559051.0
2437,12484,1710264460.0
6111,3015,1684248657.0
2966,77,1686576358.0
5077,486,1700564259.0
7696,14894,1716312170.0
1239,2244,1678823557.0
2500,151,1677757924.0
1291,2531,1700217705.0
4987,14671,1675174066.0
7205,71,1695920293.0
5986,7138,1673267404.0
4195,13725,1678446909.0
959,6577,1694516794.0
385,4433,1699030074.0
3120,1011,1713365411.0
660,6626,1675431709.0
4414,8904,1703256338.0
554,4922,1686069962.0
2920,7112,1674225762.0
1988,11731,1705678167.0
1578,466,1700675641.0
1800,11292,1673616604.0
3,149,1696255454.0
4955,4218,1690993760.0
2227,3048,1697457729.0
978,8405,1676278105.0
1651,10945,1698663964.0
5816,53,1673430106.0
5199,10666,1728048271.0
1137,9184,1693648991.0
2343,5067,1709040543.0
1309,2103,1698235248.0
4493,14205,1680278309.0
5214,14019,1708350070.0
1415,7488,1714216510.0
1763,6980,1701868452.0
6141,14578,1706632740.0
1019,8558,1703264575.0
4654,3855,1712252832.0
1019,6890,1683131917.0
1938,11633,1673543916.0
591,2231,1685710531.0
4840,10855,1681489297.0
277,3444,1674556862.0
4436,12014,1684765391.0
524,5585,1694449863.0
1027,8648,1673882397.0
2804,4648,1698678993.0
4864,9897,1685964339.0
7089,2142,1688817173.0
3656,5250,1708362016.0
3832,716,1677257883.0
2429,2761,1680785661.0
645,6534,1715100326.0
5684,11405,1701680516.0
3884,5163,1719431076.0
2997,1884,1675329415.0
7381,9096,1718360979.0
547,5765,1685971201.0
2500,1291,1680189798.0
2228,12139,1683744030.0
2591,7046,1711629692.0
1859,11457,1711372372.0
4422,14405,1679405475.0
1614,10849,1702308246.0
2190,1017,1704806839.0
1133,1610,1715426164.0
936,8226,1707834475.0
2831,7694,1677230539.0
643,6497,1704886302.0
538,4133,1700233920.0
5411,14555,1696608494.0
1247,4443,1696515791.0
362,2781,1699353934.0
2335,8508,1685728382.0
639,6449,1702489942.0
6371,11184,1682012695.0
7286,11274,1711098281.0
3880,7118,1709222748.0
520,5572,1718030843.0
1609,10842,1706189434.0
2446,12493,1688642449.0
1379,9363,1699981685.0
459,5181,1697198131.0
6462,14855,1687261728.0
3254,2556,1673268057.0
4784,5923,1713201701.0
7801,14939,1724935263.0
2048,4841,1696068911.0
2953,13192,1697130417.0
40,729,1681735031.0
7578,9282,1720872070.0
532,3118,1686322176.0
1920,11151,1705944938.0
180,2427,1702469256.0
3289,6364,1692639840.0
362,4220,1693219931.0
1284,8520,1711636166.0
2570,3299,1684233042.0
4842,11621,1697450368.0
3772,9948,1693927146.0
290,1737,1693231954.0
5592,2346,1682955669.0
6916,10784,1678887873.0
453,5099,1693331488.0
6801,13896,1675418499.0
4400,9093,1717672162.0
45,948,1688737992.0
3231,7085,1689355138.0
5093,13776,1713966523.0
641,2509,1687362976.0
3668,3178,1687516371.0
1095,2457,1692720819.0
2323,125,1686317888.0
2021,350,1718990157.0
5193,12317,1699959392.0
111,1706,1677839367.0
5756,10715,1693393715.0
3862,779,1700639289.0
715,7009,1675767119.0
2626,4975,1677775305.0
1514,5848,1685622353.0
7380,8999,1717084061.0
558,2405,1696000846.0
6503,6959,1691234056.0
3137,9405,1697472401.0
5003,1712,1707755457.0
7210,12290,1718022775.0
1592,324,1705488332.0
960,8354,1700063664.0
2296,1649,1711377521.0
2289,12239,1686914982.0
3921,13901,1685449142.0
3188,13476,1707823486.0
1949,254,1707831382.0
6535,1473,1688476354.0
399,966,1716463647.0
4339,8167,1698764298.0
2128,6999,1692702095.0
3361,7893,1702051469.0
7638,871,1713175287.0
3011,4025,1708694811.0
2313,630,1680511185.0
2657,10016,1707923977.0
7081,5292,1714737664.0
7752,9901,1719580087.0
5841,14564,1674044797.0
5321,7798,1686298609.0
6286,1700,1711649040.0
7212,10639,1693659634.0
3185,9572,1713951674.0
5351,9582,1675355429.0
7304,6171,1706372221.0
2049,3000,1713462319.0
864,1804,1704991849.0
3243,10204,1706023800.0
835,7669,1674299956.0
3472,13745,1712333497.0
937,6494,1682417391.0
4093,14220,1682427429.0
1356,10147,1675255203.0
3011,177,1699615841.0
3371,12510,1699555811.0
6615,14996,1702402061.0
857,3181,1713290345.0
2978,7770,1689181068.0
1300,3055,1681830204.0
2777,12977,1710765140.0
1763,893,1708706375.0
2466,4571,1692897868.0
7003,4060,1713178182.0
1761,11212,1709808160.0
6869,14670,1674148373.0
5802,14861,1704967224.0
4949,5498,1692713642.0
930,7172,1688568928.0
1815,6963,1692818760.0
1718,754,1674665876.0
1269,9818,1708514359.0
895,3682,1704456494.0
2036,1618,1707234635.0
6869,14670,1674148394.0
3011,512,1718025993.0
4171,6792,1698918810.0
2121,11944,1709640651.0
2880,7930,1711553107.0
382,4386,1708432409.0
4473,10072,1673442300.0
320,657,1687187711.0
3705,11045,1689082674.0
4217,11410,1696248592.0
561,4595,1714490849.0
2919,10283,1702731736.0
4007,7574,1706721028.0
1864,1809,1679068619.0
6925,4918,1690463458.0
4275,13244,1676534092.0
2031,3843,1697022758.0
3584,4407,1676981079.0
4623,12623,1682072372.0
4225,7719,1713873549.0
333,1292,1703065830.0
4828,7493,1691666084.0
1803,11299,1684319088.0
1022,8629,1692699635.0
27,561,1673354406.0
1106,8999,1677061311.0
7650,10430,1709918309.0
895,4869,1684756697.0
5139,11122,1727183017.0
1230,3825,1695137575.0
798,7475,1682107913.0
957,8345,1709639199.0
1247,9710,1712919518.0
2451,7077,1713284912.0
1015,3419,1689590709.0
7201,8581,1693324938.0
4749,13894,1679655593.0
1992,3728,1674485812.0
44,905,1708699274.0
6461,15135,1680089968.0
45,972,1705941508.0
5910,3506,1704297234.0
5097,12961,1707475772.0
4125,1488,1696865673.0
3274,11332,1680773560.0
7507,1351,1722266232.0
4473,4403,1695319975.0
7768,10379,1722081677.0
5976,15029,1718268930.0
589,6116,1718194653.0
6009,5810,1680520995.0
4197,14279,1710494425.0
1110,5084,1699550744.0
612,6275,1675441623.0
256,3241,1678209089.0
7765,7090,1721815944.0
945,3407,1695827958.0
1649,10926,1691429146.0
1977,378,1706719081.0
1072,6959,1690631221.0
1555,7197,1710511383.0
2025,3285,1686850721.0
3553,304,1676395354.0
1291,1381,1685464243.0
2741,2373,1697125643.0
6032,873,1679494480.0
2930,9321,1689948426.0
3445,6809,1724431737.0
1815,11334,1692818773.0
1824,5045,1684243206.0
1200,7038,1697885493.0
3862,9240,1676465822.0
4848,3410,1687969681.0
770,7307,1702887382.0
187,2486,1690291075.0
7696,15073,1714068081.0
3503,13607,1677063727.0
7761,4426,1720610442.0
2180,7403,1717019345.0
1798,934,1688142478.0
6364,5557,1683561512.0
2096,3358,1680533213.0
1350,10117,1707846265.0
5672,919,1675084844.0
5139,2820,1727183008.0
2156,4457,1718806033.0
7422,8940,1703940107.0
1717,6596,1700567721.0
2513,8748,1717510109.0
2462,10676,1702122243.0
1189,878,1691235414.0
4945,1529,1695133787.0
1808,1621,1701766699.0
7119,1868,1688815339.0
1759,5073,1680014082.0
1152,2670,1705584959.0
5095,7471,1699878241.0
1865,10023,1696069598.0
1744,698,1687857562.0
3190,2741,1680693206.0
692,6830,1695985497.0
5358,13587,1673517466.0
7394,2489,1717418736.0
1651,10947,1716294387.0
7050,7495,1699605181.0
1087,5543,1697039166.0
1820,9570,1689175939.0
2674,12843,1684325323.0
4185,7291,1701684154.0
2071,8294,1724067964.0
330,3940,1677249954.0
5039,1351,1688047897.0
929,651,1707238496.0
5601,14307,1709219957.0
2335,1343,1706539808.0
861,7789,1674569842.0
4040,9668,1676997103.0
2038,9968,1680628584.0
2462,11667,1682612211.0
1211,9562,1695662126.0
2594,10627,1708591849.0
6715,14555,1686228778.0
3038,13301,1689859671.0
7102,2711,1717758574.0
3437,12621,1697279160.0
1375,10216,1681202906.0
1974,4143,1681909948.0
2462,2234,1715886086.0
4420,645,1683283492.0
1832,10424,1725290202.0
7485,9284,1716806080.0
102,1634,1694012825.0
2096,6591,1703761074.0
2083,11408,1704982731.0
1879,4720,1713463473.0
693,6839,1685728169.0
607,705,1705599181.0
602,6180,1675947628.0
5341,10284,1685122348.0
1318,10013,1683975125.0
1488,10520,1680111361.0
3851,360,1696611723.0
878,1177,1706611260.0
639,6453,1673542724.0
1336,5686,1707922611.0
6196,10695,1710253113.0
4840,2026,1708961577.0
1803,6203,1693918748.0
3735,10780,1684262606.0
1222,3762,1696598843.0
7498,8376,1701269260.0
2038,2375,1680628591.0
1106,2031,1688460787.0
5988,13007,1686746023.0
612,6292,1706282915.0
2501,8144,1692197985.0
391,2659,1692638289.0
4428,12879,1696525552.0
3310,792,1710503274.0
3271,9570,1683295164.0
396,4536,1694713544.0
5245,12616,1677060653.0
3921,1561,1702308633.0
2121,3940,1685444551.0
2187,11158,1697116789.0
2919,11058,1715078919.0
6896,15223,1673627022.0
7019,13415,1682181494.0
458,4326,1717692218.0
643,1521,1710508928.0
2504,386,1698169864.0
7156,58,1725538894.0
7394,9909,1705149202.0
5398,6721,1678177326.0
1581,8082,1681475614.0
5449,5664,1677171015.0
6869,75,1676722265.0
5384,726,1716298802.0
1947,8650,1686934284.0
921,8148,1699454855.0
5563,11366,1674640430.0
2920,7135,1703071176.0
2568,9008,1704809180.0
7456,13587,1703238655.0
1659,873,1673441225.0
3615,5584,1705586462.0
919,3862,1697281212.0
1882,11487,1692013381.0
3167,928,1697884174.0
1012,3354,1700911953.0
7622,8999,1705753896.0
405,4656,1693328551.0
1318,7731,1694518047.0
6023,15042,1676319636.0
4200,1269,1678719519.0
1252,9720,1683831027.0
3900,11733,1722003261.0
1641,287,1695825925.0
4670,9201,1678458252.0
2732,10049,1706546575.0
5441,8770,1709642460.0
7027,5636,1696244999.0
922,8151,1717604965.0
429,4811,1686236656.0
365,4307,1683627935.0
2880,8925,1695395625.0
2121,1294,1695125567.0
1960,862,1715775566.0
6389,4191,1699968377.0
5988,13960,1677501932.0
289,3514,1675351282.0
2599,8825,1685469505.0
1472,7410,1675956005.0
158,2150,1706015607.0
2029,11794,1692636115.0
5108,10244,1709303937.0
1165,7716,1673455183.0
3156,13427,1682697977.0
1007,1569,1701426145.0
6135,9480,1710518682.0
4864,14621,1697020295.0
7462,13587,1702386055.0
3330,10645,1690555297.0
4782,6886,1712072046.0
3421,9327,1702560820.0
2553,139,1677237044.0
6374,216,1686912965.0
362,3682,1693219927.0
4591,13885,1674806785.0
7284,14787,1698767883.0
1648,6211,1677674891.0
1106,5684,1677518677.0
1714,10031,1678646119.0
400,4596,1672745559.0
237,2560,1719330618.0
5995,11659,1708451561.0
6613,11145,1697710991.0
2637,12796,1692701612.0
5748,7229,1683300350.0
5719,7936,1673349711.0
5039,1351,1683551842.0
2611,10365,1699962739.0
2128,1648,1697884197.0
3536,13842,1680773341.0
3500,1775,1695388994.0
607,6233,1687963182.0
6833,15164,1708607781.0
1470,1192,1685545910.0
3318,10275,1677669016.0
4473,1824,1678715581.0
3045,5203,1699552485.0
6015,4688,1692700464.0
1686,5493,1695217783.0
6421,4754,1718027377.0
1318,2506,1692802823.0
5699,8423,1709561166.0
969,8387,1682855189.0
4200,1269,1688399984.0
3201,13502,1677929754.0
3776,11956,1699973068.0
5437,5759,1678184855.0
7633,6865,1711375231.0
3685,153,1704996658.0
2919,11058,1715078948.0
4264,10208,1698998537.0
546,5757,1698163838.0
1554,5435,1692725432.0
4907,11134,1685959898.0
24,525,1677173855.0
5894,9192,1673632631.0
2100,6854,1697811130.0
83,1461,1674245392.0
6006,12730,1678892846.0
204,489,1709738478.0
1702,1832,1679740135.0
558,5883,1701360816.0
7086,716,1709031357.0
218,611,1689784937.0
3038,13289,1689859628.0
734,3543,1682360900.0
5147,5673,1692710561.0
7797,13414,1725972660.0
1578,464,1704455875.0
614,6173,1700483745.0
4230,7124,1685460678.0
1284,423,1678195209.0
5868,14307,1700659939.0
5917,1602,1715768199.0
5063,1194,1680267332.0
4413,2457,1682443313.0
5466,1671,1675096523.0
4042,13281,1694262749.0
4920,6383,1705416218.0
1322,10035,1686933434.0
6167,14555,1677156108.0
6366,3274,1724418488.0
4612,14503,1717109798.0
6869,8999,1680204249.0
