Title,Author,ISBN Valid,Publisher,Subjects,i
Les moments et leurs hommes /,"Goffman, Erving",2020099845; 9782020099844,Minuit; Seuil,"Goffman, Erving; interaction sociale--langage--[études diverses]",914
Internet rend-il bête ? : réapprendre à lire et à penser dans un monde fragmenté /,"Carr, Nicholas",9782221124437; 222112443X,R Laffont,Internet--* neuropsychologie; Internet--* psychologie; cognition--Internet--* physiologie; Internet--* sociologie,915
"Formuler une problématique : dissertation, mémoire, thèse, rapport de stage /","Frécon, Guy",9782100845729; 2100845721,Dunod,"Méthodologie.; Rédaction de rapports, notes et comptes rendus.; Travail intellectuel--Méthodologie.; Guides pratiques; Thèses et écrits académiques.",916
L'économie de l'attention : nouvel horizon du capitalisme ? /,,9782707178701; 2707178705,la Découverte,Attention; Économie politique; Économie numérique; Valeur; Sociologie,917
"Sortir des conflits : comprendre, gérer et transformer les affrontements en épisodes constructifs /","Carré, Christophe",9782212571547; 2212571542,Editions Eyrolles,Conflit (psychologie); Communication non verbale,918
Psychologie de la motivation /,,2361066432; 9782361066437,Sciences humaines éditions,Motivation (psychologie),919
Les ambitions inavouées : ce que préparent les grandes puissances /,"Gomart, Thomas",9791021056114,Tallandier,Relations internationales--2000-....; Relations extérieures--France--2000-....,920
Postures médiatiques : chronique de l'imposture ordinaire /,"Perrin, André, enseignant",9782810011322; 281001132X,L'Artilleur,Journalisme--France; Espace public (science politique); Culture dominante; Désinformation,921
"Manuel de la grande transition : former pour transformer : climat, écologie, éthique, santé, économie, droit, démocratie, énergie, agriculture, arts... /",,9791020909060,Les liens qui libèrent,Transition écologique; Transition énergétique; Changement social; Évolution sociale,922
Le déclin de l'institution /,"Dubet, François, 1946-",2020551632; 9782020551632,Ed du Seuil,institution sociale (organisme à caractère social)--France--21e s. (début); institutions--lien social--modernité - crise--France--20e s. (fin) / 21e s. (début),923
Nous sommes les réseaux sociaux /,"Abiteboul, Serge",9782415001704; 2415001708,O Jacob,Réseaux sociaux (Internet); Société numérique,924
Le beau et la splendeur du vrai : entretiens /,"Changeux, Jean-Pierre",9782226476784; 2226476784,O Jacob; Albin Michel,"Entretiens; Changeux, Jean-Pierre; Cerveau--Recherche; Neurosciences",925
La fabrique des émotions /,"Quéré, Louis",9782130829072; 2130829074,Presses Universitaires de France/Humensis,Émotions; Relations humaines; Comportement collectif; Sociologie; Interaction sociale,926
Apprendre de la vie quotidienne /,,9782130572077; 2130572073,Presses universitaires de France,apprentissage (psychologie)--comportement social--[études diverses]; apprentissage (psychologie)--éducation informelle--vie quotidienne--[études diverses],927
Descartes au pays du qi gong : les neurosciences et les arts énergétiques taoïstes /,"Tsiang, Henri",9782729622602; 2729622608,InterEditions,Qi gong; Taoïsme; Philosophie et neurosciences,928
Guide du chasseur-cueilleur égaré au 21e siècle : [apprendre de nos ancêtres Homo sapiens pour relever les défis de la vie moderne] /,"Weinstein, Bret",9782365495639; 236549563X,Thierry Souccar Editions,Anthropologie; Homme--Évolution--2000-....,929
Les impardonnables /,"Campo, Cristina 1923-1977",9782073014924; 2073014925,Gallimard,Roman italien.,930
Rédiger efficacement à l'ère du digital : techniques de communication écrite /,"Wauters, Frédéric 19..-2023",9782807337725; 2807337724,De Boeck Supérieur,Coréen (langue); Art d'écrire; Communication dans les organisations; Entreprises--Relations publiques et Internet; Communication écrite.; Technologies de l'information et de la communication.; Guides pratiques.,931
Penser les situations paradoxales : comment faire resurgir d'insoupçonnées énergies /,"Martin, Philippe",9782407024186; 2407024184,Editions Saint Honoré,,932
Retour sur la réflexivité /,"Bourdieu, Pierre",9782713229145; 2713229146,Editions de l'Ecole des hautes études en sciences sociales,Sociologie--Recherche; Sociologie--Méthodologie,933
Introduction à Howard S. Becker /,"Masson, Philippe, sociologue",9782348044885; 2348044889,La Découverte,,934
Méditations pascaliennes /,"Bourdieu, Pierre",9782757851531; 2757851535,Ed du Seuil,,935
"Ecrire les sciences sociales : [commencer et terminer son article, sa thèse ou son livre] /","Becker, Howard Saul, 1928-",9782717848519; 2717848517,Economica,Thèses et écrits académiques; [Guides pratiques et mémentos],936
Comment les écrans nous transforment et nous révèlent à nous-même /,"Pasquinelli, Elena",9782415002466; 2415002461,Odile Jacob,Technologies de l'information et de la communication--Aspect psychologique; Médias numériques--Aspect psychologique; Dépendance à Internet; Société numérique; Psychologie du développement; Informatique--Aspect cognitif.,937
Ma grammaire : pour apprendre la français /,"Defrance, Charlotte",9782090389890; 2090389893,CLE International,Grammaire française; Manuels pour allophones,938
L'art rhétorique : petit manuel pour un usage éclairé de la parole /,"Dross, Juliette",9782200635183; 2200635184,Armand Colin,Rhétorique; Discours (art oratoire),939
Rédigez vite et bien avec le Mind Mapping : la méthode MapWriting /,"Delengaigne, Xavier",9782100811045; 2100811045,Dunod,Cartes heuristiques; Art d'écrire--Méthodologie,940
Logicomix /,"Doxiadēs, Apostolos K",9782711743513; 2711743519,Vuibert,"logique formelle--mathématiques - fondements--Russell, Bertrand--[bande dessinée]; Bandes dessinées",941
682 jours /,"Bachelot-Narquin, Roselyne 1946-....",9782259314657; 2259314651,Plon,Politique et gouvernement--France; Politique culturelle--France--2000-....,942
Sociologie générale /,"Bourdieu, Pierre",9782757874073; 2757874071; 9782757874080; 275787408X,Raisons d'agir/Seuil,,943
Apprendre vite et bien : les meilleures techniques des neurosciences pour booster son cerveau /,"Oakley, Barbara A., 1955-",9782412066812; 2412066817,First editions,Travail intellectuel--Méthodologie; Neurosciences cognitives; Psychologie de l'apprentissage; Guides pratiques,944
L'orthographe en cartes mentales : Une méthode claire et efficace /,"Wuilliet, Patricia, 1957-",9782340074996; 2340074991,Ellipses 2022,Orthographe française,945
Agenda des compétences : outils et techniques d'apprentissage /,"Maurer, Hanspeter",9782606015978; 2606015975,Loisirs et pédagogie,Apprentissage; Technique; Méthodologie; [Guides pratiques et mémentos],946
Les rites d'interaction /,"Goffman, Erving",9782707300225; 2707300225,Edition de Minuit,Interaction sociale; Rites et cérémonies; Sociologie du quotidien,947
"L'art japonais du jeûne : la méthode pour être en forme, rajeunir et prévenir les maladies /","Nagumo, Yoshinori, 1955-",9782853278461; 2853278468,Médicis,Diète,948
"Atlas mondial des sexualités : libertés, plaisirs et interdits /","Cattan, Nadine",9782746763098; 2746763095,Éditions Autrement,Vie sexuelle.; Sexualité.; Cartes.,949
Divertir pour dominer : la culture de masse contre les peuples /,,9782915830224; 2915830223,L'Echappée,culture de masse--[études diverses],950
L'esprit critique /,"Bauthian, Isabelle",9782413008101; 2413008101,Delcourt,Infox; Débats et controverses; Esprit critique; Bandes dessinées,951
Invitation à la sociologie réflexive /,"Bourdieu, Pierre",9782021059946; 2021059944,Seuil,Anthropologie; Sociologie; Méthodologie; Philosophie de l'homme; Épistémologie de la sociologie,952
Dictionnaire Bourdieu /,"Chevallier, Stéphane",9782729853921; 2729853928,Ellipses,"Bourdieu, Pierre--[dictionnaire]; Bourdieu, Pierre--[biographie]",953
La numérisation du monde : un désastre écologique /,"Flipo, Fabrice",9782373090956; 2373090953,L'Echappée,Société numérique--Aspect environnemental; Écologie--Effets des innovations technologiques; Numérisation--Aspect environnemental; Économie numérique--Aspect environnemental; Changements climatiques--Effets des innovations technologiques,954
Qu'est-ce que la sociologie /,"Elias, Norbert",2266131540; 9782266131544,Presses Pocket,sociologie,955
"A quoi rêvent les algorithmes : nos vies à l'heure des ""big data"" /","Cardon, Dominique, 1965-",9782021279962; 2021279960,Ed du Seuil,Données massives; Algorithmes; Sciences sociales,956
Communication progressive du français : A2 B1 : intermédiaire /,"Leroy-Miquel, Claire",9782090384482; 2090384484; 2090384476; 9782090384475,CLE International,Français (langue)--Communication; Français (langue); Vocabulaires et manuels de conversation; Manuels pour allophones,957
"Vocabulaire progressif du français : A2-B1, intermédiaire /","Leroy-Miquel, Claire",9782090380156; 2090380152,CLE International,Vocabulaire français; Manuels pour allophones,958
Monde pluriel : penser l'unité des sciences sociales /,"Lahire, Bernard",9782021064599; 202106459X,Editions du Seuil,sciences sociales; recherche scientifique--sciences sociales; épistémologie--sciences sociales; sciences sociales--* épistémologie; sciences sociales - théorie; Sciences sociales; Recherche; Épistémologie des sciences sociales; Épistémologie; Interdisciplinarité,959
Entre nuage et eau : le quotidien d'un apprenti moine zen /,"Sans, Clément 1992-....",9782382843499; 2382843497,Ed des Equateurs,Moines bouddhistes--Japon--2000-....; Zen--Doctrines religieuses; Récits personnels,960
"Orthographe progressive du français : B2-C1, avancé : avec 405 exercices /","Chollet, Isabelle",9782090384574; 2090384573; 2090384581; 9782090384581,Impr Maury; CLE international,Orthographe française; Français langue étrangère; Manuels pour allophones,961
Vocabulaire progressif du français : B2-C1.1 : avancé : avec 390 exercices /,"Leroy-Miquel, Claire",9782090381993; 209038199X,CLE International,Vocabulaire français; Français (langue); Manuels pour allophones,962
Vocabulaire progressif du français : B2-C1.1 : avancé : avec 390 exercices : corrigés /,"Leroy-Miquel, Claire",2090382015; 9782090382013,CLE international,Enseignement du français; Français (langue); Manuels pour allophones; Vocabulaire de base,963
La dévoration numérique : une profane comédie /,"Ansermet, François, psychiatre",2415000248; 9782415000240,Odile Jacob,Société numérique,964
"Jeunesses connectées : les ""digital natives"" au prisme des inégalités socio-culturelles /","Boyadjian, Julien",9782757436417; 2757436414,Presses universitaires du Septentrion,Jeunes internautes--France--2000-....; Jeunesse--Sociologie--France.; Technologie et jeunesse--France.; Génération Internet--Sociologie--France.; Inégalité sociale.; Enquêtes.,965
En contexte : Exercices de vocabulaire : A2 /,,9782014016437; 2014016437,Hachette,Vocabulaire français; Manuels pour allophones,966
Le DELF 100% réussite : A2 /,"Dupleix, Dorothée",9782278102525; 2278102524,Didier,Français (langue); Diplôme d'études en langue française; Problèmes et exercices,967
Le talent est une fiction : déconstruire les mythes de la réussite et du mérite /,"Karaki, Samah",9782709669382; 2709669382,JC lattès,Mérite; Compétence; Succès; Aptitude,968
Votre cerveau vous veut du bien : pourquoi nous ne sommes pas faits pour être heureux en permanence mais comment trouver un équilibre /,"Hansen, Anders, 1957-",9782889538171; 2889538176,Juvence,Réalisation de soi; Bonheur; Neurosciences; Guides pratiques,969
Faites-les lire ! : pour en finir avec le crétin digital /,"Desmurget, Michel",9782021492934; 2021492931,Éditions du Seuil,Goût de la lecture; Lecture--Participation des parents; Lecture--Promotion; Apprentissage cognitif; Psychologie de la lecture; Jeunesse--Livres et lecture,970
"Le sommeil, c'est bon pour le cerveau : avec des conseils, fondés scientifiquement, pour tout âge et tout problème /","Laureys, Steven 1968-....",9782415004217; 2415004219,Odile Jacob,Sommeil; Cerveau,971
Petite philosophie des algorithmes sournois /,"De Brabandere, Luc",9782416013089; 2416013084,Editions Eyrolles,Algorithmes--Sociologie,972
L'ultime pouvoir : la vérité sur l'impact des réseaux sociaux /,"Reille-Soult, Véronique",9782204147392; 2204147397,Les Éditions du Cerf,Réseaux sociaux.; Médias numériques.,973
Raz de données : l'impact du numérique sur l'environnement /,"Durand, Alice ingénieure de formation 19..-....",9782603029329; 2603029320,Delachaux et Niestlé,Économie numérique; Empreinte écologique; Téléphonie mobile; Information électronique.; Environnement.,974
"Le cerveau, machine à inventer /","Agid, Yves neurologue 1940-....",9782226481498; 2226481494,Albin Michel,Cerveau; Découvertes scientifiques; Créativité en sciences,975
On achève bien les enfants : écrans et barbarie numérique /,"Lebrun, Fabien",2356877312; 9782356877314,le Bord de l'eau,Société numérique--Psychologie--Chez l'enfant; Technologies de l'information et de la communication--Psychologie--Chez l'enfant; Médias et enfants; Enfants internautes,976
Odyssée A2 : méthode de français /,,9782090355727; 2090355727,CLE International,Français langue étrangère; Manuels pour allophones,977
L’art du raccourci : ou comment mieux penser /,"Du Sautoy, Marcus",9782350878829; 2350878821,Editions Héloïse d’Ormesson,Abstraction.; Logique mathématique.; Pensée.,978
L'imagination sociologique /,"Mills, Charles Wright",9782707150226; 2707150223,La Découverte,Épistémologie de la sociologie; Épistémologie des sciences sociales,979
Pratiques de la lecture /,,2228887234; 9782228887236,Payot & Rivages,lecture--[congrès]; culture--lecture--* sociologie--[congrès],980
Le regard sociologique : essais choisis /,"Hughes, Everett Cherrington",2713212154; 9782713212154,Ed de l'Ecole des hautes études en sciences sociales,Ecole de Chicago (sociologie)--recherche sociale--[études diverses]; ethnographie--recherche sociale--* méthodologie--[études diverses],981
"Outils et pratique de la médiation : dénouer et prévenir les conflits dans et ""hors les murs"" /","Gava, Marie-José",9782729618988; 2729618988,InterEditions,Médiation; Guides pratiques,982
Le pouvoir du Nunchi : Le secret coréen pour doper son intelligence émotionnelle /,"Hong, Euny",9782755687781; 2755687789,Hugo Poche,Intelligence émotionnelle; Guides pratiques,983
A la découverte de la sagesse stoïcienne : L'histoire improbable du stoïcisme suivie du Manuel de la vie bonne /,"Chakrapani, Chuck",9798871955840,Editions Stoa Gallica,"Stoïcisme; Stoïcisme--Histoire; Epictète.--""Manuel""",984
"Bouger, ça commence dans la tête ! : guide de survie pour lutter contre la sédentarité /","Kiriyama, Naoki,, 1985-....",2412086664; 9782412086667,First Editions,Entraînement (sports); Sédentarité--Santé,985
La signification sociale de l'argent /,"Zelizer, Viviana A",2020654326; 9782020654326,Ed du Seuil,argent (monnaie)--* sociologie--Etats-Unis--1870 / 1930; argent (monnaie)--valeur sociale,986
Le piège du bonheur : créez la vie que vous voulez /,"Harris, Russ",9782761926409; 2761926404,Ed de l'Homme,bonheur--qualité de la vie,987
ChatGPT décodé : comment fonctionne l'IA qui révolutionne notre monde ? /,"Wolfram, Stephen 1959-....",9782354567354; 2354567359,Diateino,Agents conversationnels; ChatGPT (logiciel); Intelligence artificielle,988
Pédagogie de la résonance /,"Rosa, Hartmut",9782746526037; 2746526034,le Pommier / Humensis,Relations maître-élève; Pédagogie; Psychologie de l'apprentissage; Relation (philosophie); Changement social; Entretiens,989
Sociologie du numérique /,"Boullier, Dominique",9782200291655; 2200291655,A Colin,Société numérique; Humanités digitales; Réseaux sociaux (Internet); Génération Internet; Nouvelles technologies de l'information et de la communication; Sociologie; [Manuels d'enseignement supérieur],990
Contre l'amour : la déroute des sentiments /,"Kipnis, Laura",2710326965; 9782710326960,La Table Ronde,Adultère; Couples; Amour--Aspect social; Amour--Aspect politique; Amour--Aspect économique; Amour--Représentations sociales,991
"Vivons heureux avant la fin du monde : couple, famille, sexualité : les nouvelles règles du jeu /","Saltel, Delphine",9782900818275; 2900818273,Arte Editions; Philosophie magazine éditeur,Couples; Rôle parental; Rupture (relations humaines); Garde conjointe des enfants,992
La négociation au quotidien : l'art des victoires sans vaincus /,"Halifa, Yves",2804720810; 9782804720810,Mardaga,Négociations--Technique; Négociations (affaires)--Technique; Guides pratiques,993
"Le cerveau pense-t-il au masculin ? : cerveau, langage et représentations sexistes /","Gygax, Pascal",9782321016892; 2321016892,Le Robert,Sexism; Language; Psycholinguistics; Gender Identity; Langage--Différences entre sexes; Sexisme dans le langage; Psycholinguistique; Genre (linguistique),994
La société des singularités : une transformation structurelle de la modernité /,"Reckwitz, Andreas",9782735126552; 2735126552,Impr Sepec numérique; Éditions de la Maison des sciences de l'homme,Changement social--1970-...; Individualisme--1970-...; Individu et société--1970-...,995
Cerveaux augmentés : (humanité diminuée ?) /,"Benasayag, Miguel",9782413048220; 2413048227,Delcourt; La Découverte,Transhumanisme.; Bandes dessinées.,996
"Le cerveau numérique : organisez votre vie numérique, gagnez du temps et libérez votre esprit /","Gueniat, Julien",9782416011146; 2416011146,Eyrolles,Travail intellectuel--Méthodologie; Gestion de l'information; Budgets temps; Information électronique; Gestion des connaissances; Efficience (gestion); Guides pratiques,997
Philocomix  /,"Thivet, Jean-Philippe",9782810216116; 2810216118; 9782369819233; 2369819235; 9782810201310; 2810201315,Rue de Sèvres,Bonheur; Philosophie; Philosophes; Bandes dessinées,998
Économie du football professionnel /,"Drut, Bastien",9782707182098; 2707182095,La Découverte,Sports--Economic aspects; Football; Clubs de football; Sports professionnels; Conditions économiques,999
La prévoyance professionnelle : principes et fondements /,"Oberson, Francine",9783725566846; 3725566844,Schulthess éd romandes,Pensions de vieillesse; Régimes de retraite; Caisses de retraite; berufliche Vorsorge; berufliche Vorsorge nach BVG; obligatorische Versicherung; weitergehende Vorsorge; Altersguthaben; Vorsorgeleistung; Freizügigkeit(Versicherung); Erhaltung des Vorsorgeschutzes; Ehescheidung; Eigentumsförderung; Selbstvorsorge; Vorsorgeeinrichtung; Organ(BVG); Auffangeinrichtung; Organisation(allgemein); Organisation(Verfahren); Finanzierung(berufliche Vorsorge); Finanzierung der Versicherung; Buchhaltung; Sicherheitsfonds; Steuer; Abgabefreiheit; Verwaltung(Tätigkeit); Betriebsleitung; Suisse; Schweiz; [Manuels d'enseignement supérieur]; Bibliographie; Lehrmittel,1000
Droit suisse de la sécurité sociale,,9783727223617; 3727223618; 9783727223952; 3727223952,Stämpfli,Sécurité sociale--Droit--Suisse; Sozialversicherung; Bundesrecht; Social Security; Schweiz; Switzerland; Droit de la santé; Assurances sociales; Grundlagenwerk; Handbook; Legislation,1001
Droit social européen : Union européenne et pays associés /,"Hummer, Bettina, 1962-",9783725585199; 3725585199,Schulthess,soziale Sicherheit; rechtsgleiche Behandlung; international; Freizügigkeitsgarantie; Abkommen über die Freizügigkeit der Personen; Arbeitsvertrag; internationaler Vertrag; Gemeinschaftsrecht; Rechtsvergleichung; Schweiz,1002
Droit du travail /,"Wyler, Rémy, 1960-",9783727216084; 3727216085,Stämpfli,Droit du travail; Arbeitsrecht; Einzelarbeitsvertrag; Suisse; Schweiz; [Manuels d'enseignement supérieur]; Grundlagenwerk,1003
"Les assurances sociales en Suisse : vue d'ensemble, gestion des salaires et prévoyance /","Bucheler, Rémy",9782606018375; 2606018370,Editions loisirs et pédagogie,Sécurité sociale--Droit--Suisse; Sécurité sociale,1004
Le droit social numérique /,,9783727289798; 3727289791,Stämpfli,Sozialversicherung; AHV; Internet; elektronische Datenverarbeitung; Crowdsourcing; Schweiz,1005
Assurance-chômage et service public de l'emploi /,"Rubin, Boris",9783725587032; 3725587035,Schulthess Ed romandes,Assurance-chômage; Droit; Politique de l'emploi; Politique publique; ALV; regionales Arbeitsvermittlungszentrum; Arbeitslosenentschädigung; Kurzarbeitsentschädigung; Schlechtwetterentschädigung; Insolvenzentschädigung; arbeitsmarktliche Massnahme; Arbeitslosenversicherungsorgan; Arbeitslosenpolitik; Suisse; Schweiz; [Manuels d'enseignement supérieur],1006
Arbeitsvertrag : Praxiskommentar zu Art. 319-362 OR /,"Streiff, Ullin",9783725564507; 3725564507,Schulthess,contrat de travail--* droit--Suisse--[manuel]; Droit du travail; Contrat de travail; Einzelarbeitsvertrag; Gesamtarbeitsvertrag; Normalarbeitsvertrag; Obligationenrecht(Bundesgesetz); Suisse; Schweiz; [Commentaires]; Textreproduktion; Kommentar(Werk),1007
Commentaire de la loi sur l'assurance-chômage /,"Rubin, Boris",9783725568895; 3725568898,Schulthess Ed romandes,Assurance-chômage; Droit; ALV; Arbeitslosenversicherungsgesetz; Suisse; Schweiz; [Commentaires]; Textreproduktion; Kommentar(Werk),1008
"Congés, vacances et flexibilisation du temps de travail /",,9783725589258; 3725589259,Schulthess Editions romandes; Zurich,öffentliches Personalrecht; Einzelarbeitsvertrag; Urlaub; Ferien; Arbeitszeit; Sozialversicherung; Arbeitsrecht; Flexible Arbeitszeit; Urlaubsrecht; Feiertag; Schweiz,1009
Mélanges en l'honneur de Pierre Tercier /,,9783725556403; 3725556407,Schulthess,droit--[études diverses]; droit privé--[études diverses]; droit--Suisse--[études diverses]; droit privé--Suisse--[études diverses]; Zivilrecht; Obligation(Schuldverhältnis); Vertrag; Wirtschaft; Wettbewerb(Konkurrenz); internationales Privatrecht; Schiedsgerichtsbarkeit; Schweiz; Festschrift,1010
La recherche et la rédaction juridiques /,"Tercier, Pierre, 1943-",9783725587995; 372558799X,Schulthess Editions romandes,Rechtswissenschaft; allgemeine Rechtslehre; Dokumentarische Suche; Rechtsmethodik; Technik und Recht; Rechtssprache; Schweiz,1011
Loi fédérale sur l'assurance-invalidité (LAI) : commentaire /,"Valterio, Michel",9783725586479; 3725586470,Schulthess éd romandes,IV; Bundesgesetz über die Invalidenversicherung; Schweiz; Textreproduktion; Kommentar(Bemerkung),1012
Droit des assurances sociales /,,9783719042974; 3719042979,Helbing Lichtenhahn,Sécurité sociale--Droit--Suisse; Sozialversicherung; Gesetzessammlung; Sécurité sociale; Droit social; Schweiz; Suisse; Textreproduktion; [Législation],1013
Italie,,9782067253599; 206725359X,Michelin,Italie; Guides touristiques et de visite,1014
"Malaisie, Brunei, Singapour : 2018-2019 /",,9791033172932,Nouv éd de l'Université,Malaysia; Brunei; Singapour; Guides touristiques et de visite,1015
Lacs italiens et Milan : 2022/2023,,9782017187868; 2017187860,Hachette,"Lacs; Milan (Italie); Lombardie (Italie); Orta (Italie, lac, région); Lago Maggiore (région); Côme (Italie, lac, région); Garde (Italie, lac, région); Lago di Lugano (région); Iseo (Italie, lac, région); [Guides touristiques et de visite]",1016
Kotchi Kotchi ! : Le guide du voyageur au Japon /,"Bonnefoy, Alexandre illustrateur et photographe 1979-....",9791095397175,Editions Issekinicho,Japon; Guides touristiques et de visite,1017
Mussolini /,"Blengino, Luca",9782344054581; 2344054588,Fayard; Glénat,"Mussolini, Benito; Bandes dessinées",1018
Venise vue d'en haut /,"Roither Rigoni, Riccardo",9782361955755; 236195575X,Editions Jonglez,Venise (Italie); Photographie,1019
Confessions à un ficus /,"Logean, Catherine 19..-....",9782379411984; 2379411980,Arbre vengeur,Roman suisse de langue française,1020
"Alpes : Suisse, France, Italie /","Bitton, Samuel, 1975-",9782889584437; 2889584437,La Salamandre,Alpes (chaîne); [Photographies],1021
Le ghetto de Minsk : les partisans juifs contre les nazis /,"Smolar, Hersh 1905-1993",9782228931113; 222893111X,Payot & Rivages,Minsk (Biélorussie)--Ghetto (1941-1943); Récits personnels juifs,1022
Désirer comme un homme : enquête sur les fantasmes et les masculinités /,"Vörös, Florian, 1985-",9782348045394; 2348045397,La Découverte,Masculinité; Sexualité masculine; Fantasmes sexuels; Pornographie--Aspect social; Films pornographiques--Aspect social; Cybersexe--Aspect social; Relations hommes-femmes,1023
Dans ma chambre ; Je sors ce soir ; Plus fort que moi /,"Dustan, Guillaume",9782818014660; 2818014662,POL,,1024
Histoire des sensibilités /,,9782130827597; 2130827594,PUF,Sentiments--Histoire; Émotions--Histoire,1025
La République du Crâne /,"Brugeas, Vincent",9782505087335; 2505087334,Dargaud Benelux,Bandes dessinées,1026
Cuisine japonaise ultra facile : [recettes japonaises classiques et d'aujourd'hui à faire à la maison] /,"Anderson, Tim",9782917738450; 2917738456,Synchronique éd,Cuisine japonaise,1027
Méfiez-vous de votre cerveau : 30 biais cognitifs décrits et expliqués pour moins se tromper et mieux raisonner /,"Bellevaut, Gilles 1974-....",9782889154821; 2889154823,Éditions 41,Apprentissage cognitif; Raisonnement; Biais cognitifs,1028
La cuisine vietnamienne illustrée /,"Nguyen, Nathalie",9782317029691; 2317029691,Mango,Cuisine vietnamienne,1029
Savoie Mont Blanc : Savoie et Haute-Savoie,,9782067260146; 2067260146,Michelin,"Savoie (France, dpt); Mont-Blanc (France, dpt); Haute-Savoie (France); Guides touristiques et de visite",1030
Japon : la tradition du végétal /,"Kurata, Lina",9782383380085; 2383380083,Editions La Plage,Cuisine japonaise; Cuisine végétalienne--Japon,1031
Japon  /,"Trevisan, Irena",9782719111154; 2719111155,Vilo,Japon; Photographie,1032
Tout pour préparer son voyage au Japon /,"Dawalibi, Sarah",9782036041424; 2036041426,Larousse,Japon--Guides touristiques et de visite,1033
Japon : 51 choses à faire au moins une fois dans sa vie /,"Moscatello, Antonio",9782889359370; 2889359379,Nuinui,Guides touristiques et de visite; Japon,1034
Japon,,9782067256873; 2067256874,Michelin,Japon; Guides touristiques et de visite,1035
Japon,,9782067244870; 2067244876,Michelin,Japon; Guides touristiques et de visite,1036
Provence : 2023/24 /,,9782017208730; 2017208736,Hachette Tourisme,Provence (France); Guides touristiques et de visite,1037
"Côte d'Azur : Var, Alpes-Maritimes : 2022-2023 /",,9782017172093; 201717209X,Hachette,"Alpes-Maritimes (France, dpt); Var (France, dpt); Guides touristiques et de visite",1038
"Marseille : les Calanques, Cassis, La Ciotat : 2022/23",,9782017172017; 2017172014,Hachette,"Marseille (France); Cassis (France, région); La Ciotat (France, région); Calanques (France, massif); [Guides touristiques et de visite]",1039
Petit manuel de résistance contemporaine : récits et stratégies pour transformer le monde /,"Dion, Cyril",9782330101442; 2330101449,Actes sud,Changement social; Transition écologique,1040
Italie du Sud /,"Mathieu, Eric",2742464743; 9782742464746,Gallimard loisirs,Italie--sud; Guides touristiques et de visite,1041
"Roussillon, Aude, Pays cathare",,9782067257757; 2067257757,Michelin,"Roussillon (France, région); Aude (France, dpt); Guides touristiques et de visite",1042
Y'a des légumes au balcon ! /,"Ridsdill Smith, Mark, 1965-",9782360987887; 2360987887,Terre Vivante,Jardins potagers,1043
La physique en BD /,"Gonick, Larry",9782035926166; 2035926165,Larousse,Physique; Bandes dessinées,1044
Itadakimasu : le Japon à table /,"Reynolds, Betty 1945-",2889755266; 9782889755264,Nuinui,Cuisine japonaise,1045
Tokyo vice : un journaliste américain sur le terrain de la police japonaise /,"Adelstein, Jake, 1969-",9791095582007,Editions Marchialy,,1046
Stupeur et tremblements : roman /,"Nothomb, Amélie, 1966-",2226109501; 9782226109507,Albin Michel,,1047
Raymond de rond en large /,"Coppens, Bruno",9782875990709; 2875990705,Editions Deville,"Devos, Raymond",1048
Crète : 2023-2024 + randonnées,,9782017218326; 2017218324,Hachette livre,Crète (Grèce); Guides touristiques et de visite,1049
Îles grecques et Athène : sans la Crête ni les île ioniennes : 2023-2024,,9782017218234; 2017218235,Hachette Livre,"île--Egée (mer)--Grèce--[guide]; Athènes (Grèce, ville)--[guide]; Crète (Grèce)--[guide]",1050
Italie du Sud : Rome,,9782067257665; 2067257668,Michelin,Italie; Guides touristiques et de visite,1051
"Venise : Murano, Burano et Torcello : 2023-2024",,9782017206170; 2017206172,Hachette Livre,Venise (Italie); Guides touristiques et de visite,1052
"Espagne du nord-ouest : Galice, Asturies, Cantabrie : 2023/2024",,9782017221678; 2017221678,Hachette,Espagne - nord-ouest; Galice (Espagne); Asturies (Espagne); Cantabrie (Espagne); [Guides touristiques et de visite],1053
Rome et ses environs : 2024-2025,,9782017884149; 2017884146,Hachette,"Rome (Italie, ville); [Guides touristiques et de visite]",1054
Thaïlande,,9782067256927; 2067256920,Michelin éditions,Thaïlande; [Guides touristiques et de visite],1055
Le guide Lonely Planet des voyages en train en Europe : le manuel indispensable pour découvrir l'Europe en train /,"Hall, Tom",9782816198270; 2816198278,Lonely Planet,Voyages en train--Europe; Guides touristiques et de visite,1056
Bella Italia : un itinéraire amoureux /,"Rancé, Christiane",9791021040304,Tallandier,Italie--2000-....; Récits de voyages,1057
Bali et Lombok /,,9782017872191; 2017872199,Hachette Tourisme,Bali (Indonésie)--Guides touristiques et de visite; Lombok (Indonésie)--Guides touristiques et de visite,1058
"Savoie, Mont-Blanc : 2023-2024",,9782017228196; 2017228192,Hachette,"Haute-Savoie (France); Mont-Blanc (France, dpt); Savoie; Guides touristiques et de visite",1059
Emilie-Romagne : Bologne - Parme - Ravenne : 2023-2024 /,,9782305094915; 2305094914,Les nouvelles éditions de l'Université,Emilie-Romagne (Italie); Guides pratiques,1060
Manuel de l'antitourisme /,"Christin, Rodolphe",9782897193515; 2897193514,Ecosociété,Tourisme--Aspect économique; Tourisme--Aspect environnemental; Tourisme--Sociologie,1061
"Lorraine : Verdun, Metz, Nancy, massif des Vosges",,9782067257740; 2067257749,Michelin,"Lorraine (France); Metz (France); Nancy (France); Verdun (France); Vosges (France, massif); [Guides touristiques et de visite]",1062
